weathersit_,temp_,hum_,casual_mean,casual_sum,casual_max,registered_mean,registered_sum,registered_max
1,0.276667,0.6375,260.0,260,260,3143.0,3143,3143
1,0.278333,0.404583,532.0,532,532,1745.0,1745,1745
1,0.279167,0.41,515.0,515,515,2874.0,2874,2874
1,0.28,0.507826,502.0,502,502,2627.0,2627,2627
1,0.280833,0.567083,466.0,466,466,5220.0,5220,5220
1,0.28087,0.555652,243.0,243,243,5080.0,5080,5080
1,0.281667,0.642917,429.0,429,429,5182.0,5182,5182
1,0.2825,0.31125,558.0,558,558,2685.0,2685,2685
1,0.2825,0.537917,424.0,424,424,1545.0,1545,1545
1,0.2825,0.59,155.0,155,155,3368.0,3368,3368
1,0.282609,0.622174,206.0,206,206,3578.0,3578,3578
1,0.285217,0.407826,639.0,639,639,1173.0,1173,1173
1,0.285833,0.568333,354.0,354,354,1269.0,1269,1269
1,0.2875,0.350417,968.0,968,968,3150.0,3150,3150
1,0.287826,0.594348,163.0,163,163,3614.0,3614,3614
1,0.289167,0.552083,373.0,373,373,5122.0,5122,5122
1,0.290833,0.395833,317.0,317,317,2415.0,2415,2415
1,0.290833,0.695833,261.0,261,261,3359.0,3359,3359
1,0.2925,0.420833,316.0,316,316,1817.0,1817,1817
1,0.294167,0.64375,467.0,467,467,3803.0,3803,3803
1,0.295833,0.485833,425.0,425,425,5107.0,5107,5107
1,0.296667,0.50625,198.0,198,198,5062.0,5062,5062
1,0.298333,0.649583,362.0,362,362,5306.0,5306,5306
1,0.29913,0.503913,255.0,255,255,2047.0,2047,2047
1,0.299167,0.612917,706.0,706,706,2908.0,2908,2908
1,0.3025,0.314167,317.0,317,317,2108.0,2108,2108
1,0.3025,0.5425,155.0,155,155,856.0,856,856
1,0.303333,0.443333,109.0,109,109,3267.0,3267,3267
1,0.308696,0.646522,173.0,173,173,3425.0,3425,3425
1,0.311667,0.636667,491.0,491,491,2508.0,2508,2508
1,0.3125,0.524583,182.0,182,182,3545.0,3545,3545
1,0.313333,0.526667,310.0,310,310,3841.0,3841,3841
1,0.313333,0.535417,337.0,337,337,4750.0,4750,4750
1,0.314167,0.625833,268.0,268,268,3672.0,3672,3672
1,0.315833,0.543333,775.0,775,775,3248.0,3248,3248
1,0.316522,0.457391,397.0,397,397,1192.0,1192,1192
1,0.318261,0.423478,218.0,218,218,1897.0,1897,1897
1,0.319167,0.494167,378.0,378,378,4881.0,4881,4881
1,0.319167,0.62375,885.0,885,885,2446.0,2446,2446
1,0.321739,0.506957,430.0,430,430,887.0,887,887
1,0.323333,0.29,531.0,531,531,4571.0,4571,4571
1,0.324167,0.44625,440.0,440,440,2928.0,2928,2928
1,0.324167,0.650417,767.0,767,767,4280.0,4280,4280
1,0.325,0.545417,1313.0,1313,1313,4316.0,4316,4316
1,0.325,0.613333,188.0,188,188,3425.0,3425,3425
1,0.325217,0.496957,359.0,359,359,1687.0,1687,1687
1,0.325833,0.403333,710.0,710,710,2713.0,2713,2713
1,0.325833,0.532917,1201.0,1201,1201,3906.0,3906,3906
1,0.326667,0.519167,1156.0,1156,1156,2770.0,2770,2770
1,0.329167,0.502083,943.0,943,943,2720.0,2720,2720
1,0.329167,0.594583,724.0,724,724,1408.0,1408,1408
1,0.330833,0.775833,634.0,634,634,2851.0,2851,2851
1,0.3325,0.47375,1047.0,1047,1047,1424.0,1424,1424
1,0.3325,0.625417,333.0,333,333,4934.0,4934,4934
1,0.334167,0.542083,307.0,307,307,3791.0,3791,3791
1,0.335,0.449583,231.0,231,231,1903.0,1903,1903
1,0.3375,0.465,599.0,599,599,2826.0,2826,2826
1,0.34,0.580417,955.0,955,955,1470.0,1470,1470
1,0.34,0.703333,362.0,362,362,3307.0,3307,3307
1,0.3425,0.692917,922.0,922,922,3747.0,3747,3747
1,0.3425,0.835833,439.0,439,439,3900.0,3900,3900
1,0.343333,0.634583,349.0,349,349,3805.0,3805,3805
1,0.343478,0.68,694.0,694,694,1708.0,1708,1708
1,0.345,0.524583,484.0,484,484,5214.0,5214,5214
1,0.346667,0.534583,1435.0,1435,1435,2883.0,2883,2883
1,0.348333,0.53125,141.0,141,141,4028.0,4028,4028
1,0.348333,0.734583,952.0,952,952,2697.0,2697,2697
1,0.348696,0.469565,482.0,482,482,4380.0,4380,4380
1,0.352174,0.333478,340.0,340,340,4975.0,4975,4975
1,0.353333,0.61375,615.0,615,615,4531.0,4531,4531
1,0.354167,0.49625,199.0,199,199,4176.0,4176,4176
1,0.355,0.522083,618.0,618,618,5229.0,5229,5229
1,0.356667,0.552917,1275.0,1275,1275,2792.0,2792,2792
1,0.359167,0.395833,229.0,229,229,4134.0,4134,4134
1,0.361667,0.540833,709.0,709,709,5283.0,5283,5283
1,0.361739,0.476957,1658.0,1658,1658,3253.0,3253,3253
1,0.366667,0.490833,253.0,253,253,4069.0,4069,4069
1,0.368333,0.56875,1603.0,1603,1603,2307.0,2307,2307
1,0.37,0.6925,686.0,686,686,1608.0,1608,1608
1,0.373333,0.549167,560.0,560,560,935.0,935,935
1,0.373333,0.68625,163.0,163,163,2046.0,2046,2046
1,0.375,0.64375,1095.0,1095,1095,1697.0,1697,1697
1,0.375833,0.681667,1249.0,1249,1249,1819.0,1819,1819
1,0.3775,0.71875,370.0,370,370,3816.0,3816,3816
1,0.378333,0.48,1651.0,1651,1651,1598.0,1598,1598
1,0.384348,0.527391,982.0,982,982,1435.0,1435,1435
1,0.389167,0.645417,2090.0,2090,2090,4446.0,4446,4446
1,0.39,0.416667,324.0,324,324,4185.0,4185,4185
1,0.390833,0.470833,413.0,413,413,2395.0,2395,2395
1,0.393333,0.494583,2252.0,2252,2252,4857.0,4857,4857
1,0.393333,0.531667,1070.0,1070,1070,3451.0,3451,3451
1,0.395,0.75875,373.0,373,373,3662.0,3662,3662
1,0.395833,0.567917,394.0,394,394,4379.0,4379,4379
1,0.3975,0.46625,663.0,663,663,4746.0,4746,4746
1,0.399167,0.187917,532.0,532,532,1103.0,1103,1103
1,0.4,0.758333,305.0,305,305,3804.0,3804,3804
1,0.400833,0.68375,410.0,410,410,3658.0,3658,3658
1,0.403333,0.377083,1807.0,1807,1807,4653.0,4653,4653
1,0.404167,0.513333,432.0,432,432,4484.0,4484,4484
1,0.408333,0.702083,318.0,318,318,3656.0,3656,3656
1,0.408333,0.721667,376.0,376,376,3829.0,3829,3829
1,0.41,0.615833,665.0,665,665,1820.0,1820,1820
1,0.410833,0.66625,433.0,433,433,5124.0,5124,5124
1,0.413333,0.454167,518.0,518,518,5115.0,5115,5115
1,0.415,0.375833,208.0,208,208,1705.0,1705,1705
1,0.415,0.602917,424.0,424,424,2320.0,2320,2320
1,0.420833,0.659167,2290.0,2290,2290,4562.0,4562,4562
1,0.421667,0.74125,1619.0,1619,1619,2762.0,2762,2762
1,0.4225,0.629167,1499.0,1499,1499,2809.0,2809,2809
1,0.4275,0.574167,676.0,676,676,3628.0,3628,3628
1,0.433913,0.504348,1208.0,1208,1208,4728.0,4728,4728
1,0.435,0.374167,1192.0,1192,1192,5265.0,5265,5265
1,0.435,0.463333,834.0,834,834,6736.0,6736,6736
1,0.435833,0.505,259.0,259,259,2216.0,2216,2216
1,0.4375,0.254167,3252.0,3252,3252,3605.0,3605,3605
1,0.4375,0.539167,1060.0,1060,1060,6222.0,6222,6222
1,0.4375,0.602917,571.0,571,571,2570.0,2570,2570
1,0.438333,0.485,331.0,331,331,5398.0,5398,5398
1,0.440833,0.458333,1004.0,1004,1004,2713.0,2713,2713
1,0.441667,0.624583,460.0,460,460,2243.0,2243,2243
1,0.4425,0.408333,1252.0,1252,1252,5146.0,5146,5146
1,0.445833,0.477917,795.0,795,795,4763.0,4763,4763
1,0.446667,0.435,819.0,819,819,5099.0,5099,5099
1,0.446667,0.67125,642.0,642,642,2484.0,2484,2484
1,0.4525,0.7675,555.0,555,555,5679.0,5679,5679
1,0.454167,0.554583,516.0,516,516,4546.0,4546,4546
1,0.455833,0.692917,979.0,979,979,6482.0,6482,6482
1,0.456667,0.479583,1558.0,1558,1558,2186.0,2186,2186
1,0.4575,0.400833,1014.0,1014,1014,5219.0,5219,5219
1,0.458333,0.587083,2229.0,2229,2229,4075.0,4075,4075
1,0.459167,0.407083,745.0,745,745,3444.0,3444,3444
1,0.459167,0.444167,614.0,614,614,3819.0,3819,3819
1,0.459167,0.698333,810.0,810,810,2261.0,2261,2261
1,0.463333,0.772083,699.0,699,699,3488.0,3488,3488
1,0.464167,0.51,2132.0,2132,2132,4692.0,4692,4692
1,0.466667,0.396667,1348.0,1348,1348,5424.0,5424,5424
1,0.466667,0.489167,838.0,838,838,4460.0,4460,4460
1,0.4675,0.540417,529.0,529,529,2738.0,2738,2738
1,0.468333,0.558333,922.0,922,922,6612.0,6612,6612
1,0.469167,0.507917,304.0,304,304,4275.0,4275,4275
1,0.471667,0.622917,695.0,695,695,3992.0,3992,3992
1,0.4725,0.379167,1424.0,1424,1424,1693.0,1693,1693
1,0.4725,0.503333,1965.0,1965,1965,3347.0,3347,3347
1,0.475833,0.63625,471.0,471,471,3724.0,3724,3724
1,0.475833,0.73375,551.0,551,551,6055.0,6055,6055
1,0.476667,0.427917,655.0,655,655,5541.0,5541,5541
1,0.479167,0.59,894.0,894,894,3714.0,3714,3714
1,0.484167,0.48125,674.0,674,674,5024.0,5024,5024
1,0.484167,0.572917,2806.0,2806,2806,5284.0,5284,5284
1,0.484167,0.71,486.0,486,486,3970.0,3970,3970
1,0.485,0.741667,1097.0,1097,1097,5172.0,5172,5172
1,0.485833,0.615417,325.0,325,325,4665.0,4665,4665
1,0.4875,0.568333,830.0,830,830,6228.0,6228,6228
1,0.489167,0.3175,905.0,905,905,4680.0,4680,4680
1,0.494167,0.439167,834.0,834,834,5299.0,5299,5299
1,0.494167,0.620833,639.0,639,639,4126.0,4126,4126
1,0.495,0.502917,2795.0,2795,2795,4665.0,4665,4665
1,0.498333,0.6125,846.0,846,846,5719.0,5719,5719
1,0.5,0.275833,2230.0,2230,2230,2939.0,2939,2939
1,0.503478,0.743043,253.0,253,253,3614.0,3614,3614
1,0.505833,0.552083,1026.0,1026,1026,5546.0,5546,5546
1,0.506667,0.483333,1899.0,1899,1899,3318.0,3318,3318
1,0.5075,0.695,1353.0,1353,1353,2921.0,2921,2921
1,0.51,0.457083,878.0,878,878,3717.0,3717,3717
1,0.510833,0.684167,949.0,949,949,4036.0,4036,4036
1,0.511667,0.486667,1748.0,1748,1748,3293.0,3293,3293
1,0.5125,0.5425,669.0,669,669,2760.0,2760,2760
1,0.514167,0.492917,1001.0,1001,1001,6435.0,6435,6435
1,0.514167,0.630833,780.0,780,780,6911.0,6911,6911
1,0.52,0.54125,1612.0,1612,1612,3102.0,3102,3102
1,0.521667,0.516667,579.0,579,579,2348.0,2348,2348
1,0.521667,0.640417,2080.0,2080,2080,4559.0,4559,4559
1,0.521667,0.70125,2235.0,2235,2235,3174.0,3174,3174
1,0.526667,0.583333,2015.0,2015,2015,4874.0,4874,4874
1,0.526667,0.694583,1340.0,1340,1340,5950.0,5950,5950
1,0.5275,0.5675,486.0,486,486,4896.0,4896,4896
1,0.528333,0.631667,1401.0,1401,1401,2932.0,2932,2932
1,0.529167,0.467083,2454.0,2454,2454,5453.0,5453,5453
1,0.53,0.587083,595.0,595,595,3891.0,3891,3891
1,0.5325,0.489167,694.0,694,694,4109.0,4109,4109
1,0.5325,0.58875,664.0,664,664,3698.0,3698,3698
1,0.533333,0.360417,1319.0,1319,1319,5711.0,5711,5711
1,0.534167,0.579583,713.0,713,713,3857.0,3857,3857
1,0.535,0.7475,695.0,695,695,4169.0,4169,4169
1,0.536667,0.719583,909.0,909,909,4008.0,4008,4008
1,0.538333,0.647917,559.0,559,559,4267.0,4267,4267
1,0.54,0.525217,884.0,884,884,2355.0,2355,2355
1,0.540833,0.7275,2397.0,2397,2397,3114.0,3114,3114
1,0.541667,0.469583,1058.0,1058,1058,5378.0,5378,5378
1,0.5425,0.542917,2589.0,2589,2589,5966.0,5966,5966
1,0.5425,0.632917,550.0,550,550,3632.0,3632,3632
1,0.544167,0.641667,841.0,841,841,6625.0,6625,6625
1,0.545,0.72875,982.0,982,982,5171.0,5171,5171
1,0.546667,0.618333,939.0,939,939,6781.0,6781,6781
1,0.55,0.57,845.0,845,845,6693.0,6693,6693
1,0.5525,0.536667,788.0,788,788,6803.0,6803,6803
1,0.554167,0.61125,1027.0,1027,1027,6028.0,6028,6028
1,0.554167,0.664167,3031.0,3031,3031,4934.0,4934,4934
1,0.554167,0.83125,1334.0,1334,1334,5537.0,5537,5537
1,0.5575,0.579583,1005.0,1005,1005,5187.0,5187,5187
1,0.560833,0.807917,1051.0,1051,1051,5042.0,5042,5042
1,0.564167,0.480417,2622.0,2622,2622,4807.0,4807,4807
1,0.564167,0.523333,1521.0,1521,1521,6118.0,6118,6118
1,0.564167,0.6475,830.0,830,830,4372.0,4372,4372
1,0.564167,0.797083,667.0,667,667,5502.0,5502,5502
1,0.565,0.6175,762.0,762,762,5085.0,5085,5085
1,0.57,0.682917,2541.0,2541,2541,4083.0,4083,4083
1,0.570833,0.73375,1514.0,1514,1514,3603.0,3603,3603
1,0.5725,0.507083,997.0,997,997,5315.0,5315,5315
1,0.573333,0.42625,734.0,734,734,2381.0,2381,2381
1,0.5775,0.52,1070.0,1070,1070,6697.0,6697,6697
1,0.5775,0.787917,773.0,773,773,3185.0,3185,3185
1,0.58,0.57,2166.0,2166,2166,5167.0,5167,5167
1,0.583333,0.50375,1118.0,1118,1118,6407.0,6407,6407
1,0.583333,0.549167,2795.0,2795,2795,5325.0,5325,5325
1,0.5875,0.63625,795.0,795,795,6898.0,6898,6898
1,0.5925,0.59875,2634.0,2634,2634,4344.0,4344,4344
1,0.593333,0.52,1242.0,1242,1242,6142.0,6142,6142
1,0.595,0.614167,613.0,613,613,3331.0,3331,3331
1,0.5975,0.487083,1071.0,1071,1071,5927.0,5927,5927
1,0.599167,0.577083,1050.0,1050,1050,6820.0,6820,6820
1,0.599167,0.66875,1250.0,1250,1250,6917.0,6917,6917
1,0.6,0.45625,3410.0,3410,3410,4884.0,4884,4884
1,0.6025,0.493333,2494.0,2494,2494,5147.0,5147,5147
1,0.6025,0.567083,1038.0,1038,1038,6456.0,6456,6456
1,0.6025,0.626667,2258.0,2258,2258,3547.0,3547,3547
1,0.604167,0.507083,727.0,727,727,4164.0,4164,4164
1,0.604167,0.749583,1576.0,1576,1576,3084.0,3084,3084
1,0.606667,0.507917,2846.0,2846,2846,4286.0,4286,4286
1,0.606667,0.776667,773.0,773,773,3300.0,3300,3300
1,0.608333,0.390417,989.0,989,989,5702.0,5702,5702
1,0.608333,0.501667,3160.0,3160,3160,5554.0,5554,5554
1,0.61,0.5475,2570.0,2570,2570,5657.0,5657,5657
1,0.6125,0.57625,2172.0,2172,2172,3946.0,3946,3946
1,0.6125,0.637083,1054.0,1054,1054,6750.0,6750,6750
1,0.615,0.6275,1516.0,1516,1516,6640.0,6640,6640
1,0.616667,0.699167,653.0,653,653,4186.0,4186,4186
1,0.62,0.354167,898.0,898,898,4414.0,4414,4414
1,0.620833,0.530417,2704.0,2704,2704,4425.0,4425,4425
1,0.626667,0.471667,769.0,769,769,4411.0,4411,4411
1,0.6275,0.735417,1069.0,1069,1069,5227.0,5227,5227
1,0.630833,0.373333,1077.0,1077,1077,6365.0,6365,6365
1,0.631667,0.504167,2963.0,2963,2963,4739.0,4739,4739
1,0.631667,0.729167,678.0,678,678,3722.0,3722,3722
1,0.633333,0.6725,1379.0,1379,1379,6630.0,6630,6630
1,0.635,0.45625,1869.0,1869,1869,3473.0,3473,3473
1,0.635,0.494583,863.0,863,863,4157.0,4157,4157
1,0.635,0.630833,787.0,787,787,6946.0,6946,6946
1,0.636667,0.554583,729.0,729,729,3905.0,3905,3905
1,0.636667,0.697917,991.0,991,991,6433.0,6433,6433
1,0.639167,0.548333,775.0,775,775,4429.0,4429,4429
1,0.639167,0.589583,1563.0,1563,1563,6102.0,6102,6102
1,0.640833,0.455417,1281.0,1281,1281,4614.0,4614,4614
1,0.644348,0.692174,690.0,690,690,4023.0,4023,4023
1,0.648333,0.569583,1180.0,1180,1180,6183.0,6183,6183
1,0.649167,0.467917,1488.0,1488,1488,6248.0,6248,6248
1,0.649167,0.67375,1081.0,1081,1081,5925.0,5925,5925
1,0.649167,0.735833,863.0,863,863,3981.0,3981,3981
1,0.65,0.646667,2512.0,2512,2512,5883.0,5883,5883
1,0.650833,0.7125,701.0,701,701,4062.0,4062,4062
1,0.653333,0.71375,1633.0,1633,1633,3413.0,3413,3413
1,0.655,0.639167,783.0,783,783,4332.0,4332,4332
1,0.655,0.716667,1059.0,1059,1059,5711.0,5711,5711
1,0.655833,0.582083,1173.0,1173,1173,6248.0,6248,6248
1,0.655833,0.729583,2001.0,2001,2001,2757.0,2757,2757
1,0.656667,0.597917,688.0,688,688,4370.0,4370,4370
1,0.66,0.75375,1750.0,1750,1750,3595.0,3595,3595
1,0.660833,0.69625,740.0,740,740,4238.0,4238,4238
1,0.663333,0.59125,1318.0,1318,1318,4220.0,4220,4220
1,0.664167,0.561667,1198.0,1198,1198,5172.0,5172,5172
1,0.665833,0.712083,775.0,775,775,3563.0,3563,3563
1,0.6675,0.677083,1094.0,1094,1094,6281.0,6281,6281
1,0.6675,0.81875,2355.0,2355,2355,2433.0,2433,2433
1,0.669167,0.716667,1935.0,1935,1935,2549.0,2549,2549
1,0.673333,0.605,949.0,949,949,4181.0,4181,4181
1,0.673333,0.697083,647.0,647,647,4138.0,4138,4138
1,0.678333,0.6,673.0,673,673,3875.0,3875,3875
1,0.678333,0.603333,2827.0,2827,2827,5038.0,5038,5038
1,0.68,0.492917,1100.0,1100,1100,6238.0,6238,6238
1,0.68,0.513333,1920.0,1920,1920,3385.0,3385,3385
1,0.68,0.747083,1417.0,1417,1417,5317.0,5317,5317
1,0.680833,0.47625,888.0,888,888,4196.0,4196,4196
1,0.681667,0.65375,871.0,871,871,3808.0,3808,3808
1,0.685,0.552083,1177.0,1177,1177,6520.0,6520,6520
1,0.686667,0.585,2418.0,2418,2418,3505.0,3505,3505
1,0.688333,0.69,968.0,968,968,5857.0,5857,5857
1,0.69,0.697083,3283.0,3283,3283,3308.0,3308,3308
1,0.691667,0.47,833.0,833,833,3925.0,3925,3925
1,0.6925,0.7325,2855.0,2855,2855,3681.0,3681,3681
1,0.6925,0.747917,1467.0,1467,1467,2993.0,2993,2993
1,0.695,0.483333,1782.0,1782,1782,3420.0,3420,3420
1,0.695833,0.635833,1363.0,1363,1363,6402.0,6402,6402
1,0.696667,0.434167,1027.0,1027,1027,4488.0,4488,4488
1,0.696667,0.670417,1807.0,1807,1807,3312.0,3312,3312
1,0.6975,0.36,1077.0,1077,1077,6258.0,6258,6258
1,0.6975,0.674167,1914.0,1914,1914,3277.0,3277,3277
1,0.7,0.76125,768.0,768,768,3893.0,3893,3893
1,0.700833,0.530417,2182.0,2182,2182,4362.0,4362,4362
1,0.700833,0.578333,721.0,721,721,4004.0,4004,4004
1,0.703333,0.730417,989.0,989,989,5928.0,5928,5928
1,0.703333,0.73625,1045.0,1045,1045,6459.0,6459,6459
1,0.706667,0.590417,1172.0,1172,1172,6541.0,6541,6541
1,0.706667,0.619583,1198.0,1198,1198,6149.0,6149,6149
1,0.707059,0.561765,1415.0,1415,1415,2919.0,2919,2919
1,0.7075,0.597917,763.0,763,763,4070.0,4070,4070
1,0.7075,0.790833,1965.0,1965,1965,4069.0,4069,4069
1,0.708333,0.415,1051.0,1051,1051,3854.0,3854,3854
1,0.708333,0.6775,758.0,758,758,3919.0,3919,3919
1,0.709167,0.742083,2521.0,2521,2521,2419.0,2419,2419
1,0.710833,0.437083,2708.0,2708,2708,4790.0,4790,4790
1,0.710833,0.630833,1023.0,1023,1023,3843.0,3843,3843
1,0.710833,0.77,1249.0,1249,1249,2624.0,2624,2624
1,0.711667,0.654583,639.0,639,639,3166.0,3166,3166
1,0.7125,0.67625,2557.0,2557,2557,3486.0,3486,3486
1,0.713333,0.704167,968.0,968,968,6248.0,6248,6248
1,0.715,0.305,736.0,736,736,4232.0,4232,4232
1,0.715833,0.504167,1139.0,1139,1139,5640.0,5640,5640
1,0.715833,0.529583,1032.0,1032,1032,6414.0,6414,6414
1,0.716667,0.633333,975.0,975,975,6289.0,6289,6289
1,0.7175,0.42375,812.0,812,812,3980.0,3980,3980
1,0.7175,0.6775,1074.0,1074,1074,6506.0,6506,6506
1,0.719167,0.519167,1338.0,1338,1338,6267.0,6267,6267
1,0.719167,0.604167,2006.0,2006,2006,3296.0,3296,3296
1,0.72,0.743333,784.0,784,784,3845.0,3845,3845
1,0.720833,0.545417,1207.0,1207,1207,5676.0,5676,5676
1,0.721667,0.62375,2153.0,2153,2153,4444.0,4444,4444
1,0.7225,0.39625,1246.0,1246,1246,4116.0,4116,4116
1,0.7225,0.684583,880.0,880,880,4863.0,4863,4863
1,0.723333,0.570833,1483.0,1483,1483,5665.0,5665,5665
1,0.723333,0.575417,668.0,668,668,4026.0,4026,4026
1,0.724167,0.45,1383.0,1383,1383,6790.0,6790,6790
1,0.724167,0.573333,969.0,969,969,4022.0,4022,4022
1,0.725,0.654583,1729.0,1729,1729,3237.0,3237,3237
1,0.725833,0.755,867.0,867,867,5997.0,5997,5997
1,0.726667,0.538333,2224.0,2224,2224,4374.0,4374,4374
1,0.726667,0.686667,1128.0,1128,1128,5656.0,5656,5656
1,0.728333,0.497917,848.0,848,848,4377.0,4377,4377
1,0.728333,0.62,935.0,935,935,6105.0,6105,6105
1,0.730833,0.66875,1040.0,1040,1040,6065.0,6065,6065
1,0.731667,0.534583,2657.0,2657,2657,4801.0,4801,4801
1,0.733333,0.609167,1988.0,1988,1988,3348.0,3348,3348
1,0.733333,0.685,1549.0,1549,1549,2549.0,2549,2549
1,0.733333,0.7075,661.0,661,661,3846.0,3846,3846
1,0.736667,0.74125,832.0,832,832,6280.0,6280,6280
1,0.738333,0.444583,2204.0,2204,2204,2915.0,2915,2915
1,0.741667,0.694167,1135.0,1135,1135,5831.0,5831,5831
1,0.7425,0.752917,1298.0,1298,1298,2487.0,2487,2487
1,0.743333,0.479167,2551.0,2551,2551,4340.0,4340,4340
1,0.743333,0.757083,568.0,568,568,3272.0,3272,3272
1,0.744167,0.634167,732.0,732,732,3916.0,3916,3916
1,0.745833,0.717917,1920.0,1920,1920,4111.0,4111,4111
1,0.746667,0.590417,1031.0,1031,1031,3634.0,3634,3634
1,0.746667,0.631667,748.0,748,748,3594.0,3594,3594
1,0.746667,0.65125,841.0,841,841,3617.0,3617,3617
1,0.7475,0.578333,1743.0,1743,1743,3138.0,3138,3138
1,0.749167,0.4225,921.0,921,921,5958.0,5958,5958
1,0.75,0.65125,754.0,754,754,3838.0,3838,3838
1,0.750833,0.655,1140.0,1140,1140,6452.0,6452,6452
1,0.7525,0.659583,983.0,983,983,6278.0,6278,6278
1,0.755,0.605,815.0,815,815,3771.0,3771,3771
1,0.755833,0.613333,2234.0,2234,2234,4451.0,4451,4451
1,0.755833,0.620417,1196.0,1196,1196,6090.0,6090,6090
1,0.7625,0.635833,723.0,723,723,3363.0,3363,3363
1,0.763333,0.645,1088.0,1088,1088,5742.0,5742,5742
1,0.764167,0.5875,1433.0,1433,1433,5917.0,5917,5917
1,0.765,0.592083,846.0,846,846,3480.0,3480,3480
1,0.765,0.60125,1455.0,1455,1455,4232.0,4232,4232
1,0.766667,0.424167,884.0,884,884,3896.0,3896,3896
1,0.768333,0.707083,644.0,644,644,3688.0,3688,3688
1,0.769167,0.6525,1707.0,1707,1707,3757.0,3757,3757
1,0.77,0.600417,888.0,888,888,5703.0,5703,5703
1,0.771667,0.540833,750.0,750,750,3840.0,3840,3840
1,0.771667,0.550833,729.0,729,729,3537.0,3537,3537
1,0.775,0.402917,755.0,755,755,3901.0,3901,3901
1,0.775,0.570417,907.0,907,907,3695.0,3695,3695
1,0.775,0.636667,673.0,673,673,3309.0,3309,3309
1,0.775833,0.622083,676.0,676,676,3725.0,3725,3725
1,0.776667,0.596667,1036.0,1036,1036,5825.0,5825,5825
